region,tenure,age,marital,address,income,education,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,unsubscribe
2,5,33,0,10,125,4,5,0,1,1,0,1,0,0,4.85,0,26.15,0,0,17.25,0,110.1,0,0,0,0,1,1,0,0,0,0,1,1.579,,3.264,,,4.828,1,1
3,7,35,0,14,80,2,15,0,1,1,1,0,1,0,7.1,22,0,23.75,0,47.45,166.1,0,145,0,0,1,0,0,1,1,1,1,0,1.96,3.091,,3.168,,4.382,3,0
1,41,38,1,8,37,2,9,0,1,3,0,0,1,0,8.55,0,0,41.75,0,308.7,0,0,1650,0,0,0,0,0,0,0,0,0,0,2.146,,,3.732,,3.611,1,0
2,57,54,1,30,115,4,23,0,1,3,1,1,0,1,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,1,1,1,1,1,1,1,1,1,2.747,3.834,3.844,,4.112,4.745,4,1
2,9,46,0,3,25,1,8,0,1,2,0,0,0,0,4.4,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.482,,,,,3.219,1,0
1,29,38,1,12,75,5,1,0,0,4,0,1,1,0,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,1,0,0,1,0,0,0,0,0,1.629,,3.409,2.42,,4.317,2,0
3,60,57,0,38,162,2,30,0,0,1,1,1,1,0,16.15,29.75,31.3,30,0,946.9,1767.6,1788.95,1795,0,1,0,0,0,1,1,1,1,0,2.782,3.393,3.444,3.401,,5.088,3,0
3,34,48,0,3,49,2,6,0,1,3,1,0,0,0,6.65,18.5,0,0,0,230.8,614.3,0,0,0,0,0,0,0,0,1,1,1,0,1.895,2.918,,,,3.892,3,0
2,1,24,0,3,20,1,3,0,0,1,0,0,0,0,1.05,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,,,,,2.996,1,0
1,26,29,1,3,77,4,2,0,0,4,0,1,1,1,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,1,1,0,1,1,1,1,1,1,1.902,,3.873,3.188,3.645,4.344,4,1
3,6,30,0,7,16,3,1,0,1,1,0,1,0,1,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,1,0,1,1,0,1,0,0,0,1.322,,3.52,,2.929,2.773,2,1
1,68,52,1,17,120,1,24,0,0,2,0,0,1,0,20.7,0,0,22,0,1391.05,0,0,1505,0,0,0,0,0,0,0,1,0,0,3.03,,,3.091,,4.787,1,0
3,53,33,0,10,101,5,4,0,1,2,0,1,1,1,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,1,1,0,1,0,1,1,1,1,1.668,,3.904,3.287,3.94,4.615,4,0
3,55,48,1,19,67,1,25,0,0,3,0,0,1,0,15.05,0,0,27.25,0,810.45,0,0,1390,0,0,0,0,0,0,0,0,0,0,2.711,,,3.305,,4.205,1,0
3,14,43,1,18,36,1,5,0,0,5,1,0,1,0,12.5,19.75,0,18,0,153.75,273.75,0,215,0,0,0,0,0,1,1,1,1,0,2.526,2.983,,2.89,,3.584,3,0
2,1,21,0,0,33,2,0,0,1,3,1,0,1,0,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,0,0,0,0,0,1,1,1,0,0.788,3.033,,3.701,,3.497,3,0
2,42,40,0,7,37,2,8,0,1,1,1,1,1,1,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,1,1,0,1,1,1,0,1,1,2.11,3.157,3.608,3.332,3.622,3.611,4,0
3,25,33,1,11,31,1,5,0,0,4,0,0,0,0,9.1,0,0,0,0,234.95,0,0,0,0,1,0,0,0,1,0,1,0,0,2.208,,,,,3.434,3,0
1,9,21,1,1,17,2,2,0,1,3,0,0,0,0,2.9,0,0,0,0,25.25,0,0,0,0,0,0,0,0,1,0,0,0,0,1.065,,,,,2.833,1,0
2,13,33,1,9,19,4,0,0,1,2,0,1,0,0,5.55,0,27.35,0,0,75.25,0,330.65,0,0,1,0,0,1,0,0,0,1,1,1.714,,3.309,,,2.944,2,0
1,56,37,1,6,36,1,13,0,1,2,0,1,1,0,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,1,0,0,1,0,0,0,0,1,2.361,,3.437,2.904,,3.584,2,0
1,71,53,1,27,155,5,12,0,0,2,1,0,1,1,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,1,1,0,1,0,0,1,1,1,3.045,4.025,,3.526,3.911,5.043,4,0
1,35,50,1,26,140,2,21,0,1,4,1,0,1,0,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,0,0,0,0,0,1,1,1,0,1.872,3.314,,3.555,,4.942,3,0
1,11,27,1,8,55,5,0,0,0,3,0,1,0,0,4.8,0,19.55,0,0,54.1,0,220.4,0,0,1,0,0,1,0,0,0,0,0,1.569,,2.973,,,4.007,2,0
2,60,46,1,13,163,3,24,0,0,2,1,1,1,1,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,1,1,1,1,0,1,1,1,1,3.523,3.644,3.799,2.621,4.012,5.094,4,0
3,20,35,1,11,52,4,0,0,0,2,0,1,0,0,4.25,0,30.55,0,0,82.7,0,547.15,0,0,1,0,0,1,0,0,0,0,1,1.447,,3.419,,,3.951,2,1
2,54,60,0,38,211,4,25,0,0,1,1,1,1,1,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,1,1,1,1,1,0,0,1,1,3.052,3.67,3.836,3.994,4.005,5.352,4,0
1,44,57,1,1,186,2,17,0,0,2,1,0,1,1,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,1,1,0,0,1,1,1,1,0,2.282,3.512,,3.584,3.729,5.226,3,0
1,11,41,1,0,39,1,1,0,1,2,1,0,1,0,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,0,1,0,0,1,1,1,1,0,1.879,3.376,,2.983,,3.664,3,1
2,72,57,0,34,22,2,35,1,1,1,1,0,1,0,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,1,0,0,0,1,1,1,1,0,3.732,3.892,,2.931,,3.091,3,0
3,10,41,0,7,30,1,7,0,0,1,1,0,1,0,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,0,0,0,0,1,1,1,1,0,0.916,2.958,,3.984,,3.401,3,0
2,15,28,0,0,29,2,4,0,1,1,1,0,1,0,4.25,30,0,17.75,0,78,426.05,0,255,0,0,0,0,0,1,1,1,1,0,1.447,3.401,,2.876,,3.367,3,0
2,27,28,1,4,23,2,8,0,0,5,0,0,0,0,6.2,0,0,0,0,180.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1.825,,,,,3.135,1,0
1,9,36,1,14,62,4,10,0,0,6,0,1,0,1,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,1,1,1,1,0,0,0,1,1,1.732,,3.845,,3.882,4.127,4,1
1,64,43,1,20,76,4,20,0,1,4,1,0,1,0,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,1,0,0,0,1,1,0,1,0,2.688,2.931,,2.398,,4.331,3,0
1,65,41,1,3,74,4,16,0,0,2,0,1,1,0,14.5,0,37,17,0,963.3,0,2263.05,1065,0,1,1,0,1,0,0,0,0,1,2.674,,3.611,2.833,,4.304,2,0
1,49,51,1,27,63,4,19,0,0,5,1,0,1,0,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,1,0,0,1,0,1,0,0,1,2.553,3.248,,2.657,,4.143,2,0
3,47,41,1,0,36,4,8,0,0,2,0,1,1,1,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,1,0,1,1,0,1,0,1,1,2.048,,3.623,2.918,3.658,3.584,4,1
3,9,34,1,9,33,2,8,0,1,4,0,1,0,0,2.95,0,22.95,0,0,18.9,0,208.55,0,0,0,0,0,0,0,0,0,0,0,1.082,,3.133,,,3.497,1,1
1,5,36,0,14,29,2,9,0,1,1,1,0,1,1,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,0,0,0,1,1,1,1,1,1,1.179,3.45,,2.741,3.287,3.367,3,1
2,30,34,1,4,27,2,1,0,0,5,0,1,0,0,6.3,0,22.5,0,0,150.9,0,690.75,0,0,0,0,0,1,0,0,0,0,0,1.841,,3.114,,,3.296,1,1
1,56,52,1,28,49,2,12,0,0,4,0,0,1,0,24.75,0,0,22.25,0,1349.05,0,0,1215,0,1,0,0,0,0,0,0,0,0,3.209,,,3.102,,3.892,2,0
3,10,22,0,0,24,4,0,0,0,1,1,1,1,1,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,1,1,1,1,1,1,1,1,1,2.054,3.168,3.618,3.114,3.403,3.178,4,0
1,7,26,1,3,26,2,2,0,0,5,1,0,0,0,4.85,15.5,0,0,0,33.7,136.55,0,0,0,0,0,0,0,0,1,0,0,0,1.579,2.741,,,,3.258,1,0
1,52,27,0,6,47,3,5,0,0,2,1,0,1,0,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,0,0,0,0,1,0,0,0,1,1.833,2.918,,2.657,,3.85,1,0
2,36,45,1,1,94,2,18,0,1,5,1,1,0,0,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,0,0,1,1,1,0,0,1,0,1.974,2.757,3.345,,,4.543,1,1
3,27,34,0,8,21,3,4,0,1,1,0,0,0,0,7.65,0,0,0,0,213.45,0,0,0,0,1,0,0,0,0,0,0,0,0,2.035,,,,,3.045,2,0
1,58,62,1,36,27,1,0,0,0,2,0,0,1,0,15.5,0,0,34.5,0,967.1,0,0,1910,0,0,0,0,0,0,0,0,0,0,2.741,,,3.541,,3.296,1,0
2,41,52,0,27,30,2,2,0,1,1,1,0,1,1,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,0,0,0,0,1,1,1,1,0,2.342,3.332,,2.944,3.314,3.401,3,0
2,47,40,1,16,127,4,12,0,1,4,0,1,1,0,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,1,0,0,1,0,0,0,0,1,2.981,,3.338,2.691,,4.844,2,0
2,55,39,1,15,137,2,20,0,1,2,1,0,1,0,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,0,1,0,0,1,1,1,1,0,2.542,3.314,,2.442,,4.92,3,1
2,56,50,1,1,80,2,24,0,1,4,1,0,1,1,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,1,1,1,0,1,1,1,1,0,3.36,4.016,,3.056,4.113,4.382,4,0
3,35,55,0,24,30,2,2,0,0,1,0,0,1,0,10.25,0,0,15.75,0,395.85,0,0,550,0,0,0,0,0,0,0,0,0,0,2.327,,,2.757,,3.401,1,0
2,69,51,1,11,438,4,23,0,1,2,0,1,1,0,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,1,0,1,1,1,0,0,1,0,3.367,,3.851,3.209,,6.082,4,0
2,44,39,0,16,79,2,16,0,0,1,1,1,1,1,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,1,0,1,1,1,1,1,1,1,2.725,3.199,3.623,3.305,3.403,4.369,4,1
3,36,47,1,16,63,1,23,0,0,2,0,0,1,0,9.05,0,0,6.75,0,373.65,0,0,220,0,0,0,0,0,0,0,0,0,0,2.203,,,1.91,,4.143,1,0
3,28,51,1,22,40,3,10,0,1,6,1,0,0,0,8.95,21.25,0,0,0,253.55,586.95,0,0,0,0,0,0,0,1,1,1,1,0,2.192,3.056,,,,3.689,3,0
1,72,67,1,44,51,1,34,1,0,2,1,0,1,0,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,1,0,0,0,1,1,1,1,0,4.044,3.942,,2.958,,3.932,3,0
1,16,27,0,5,37,3,5,0,0,4,0,0,0,0,6,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.792,,,,,3.611,1,0
3,3,43,0,19,61,4,11,0,1,1,0,1,1,1,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,0,0,0,1,1,0,0,1,1,1.147,,3.305,2.788,2.888,4.111,1,1
1,40,57,1,15,22,2,9,0,0,2,0,0,1,0,8.55,0,0,19.75,0,381.5,0,0,710,0,0,0,0,0,0,0,0,0,0,2.146,,,2.983,,3.091,1,0
3,16,39,0,6,44,4,3,0,1,1,0,1,0,0,6.6,0,23.3,0,0,96.3,0,350.15,0,0,1,0,0,1,0,0,0,0,1,1.887,,3.148,,,3.784,2,0
1,20,42,0,4,17,3,5,0,0,1,0,0,0,0,7.8,0,0,0,0,175.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2.054,,,,,2.833,1,0
2,48,43,0,13,110,5,15,0,1,3,0,1,0,1,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,1,1,0,1,0,0,0,0,1,1.981,,3.512,,3.028,4.7,2,0
2,64,48,1,13,91,2,24,0,0,2,1,0,1,1,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,1,0,0,0,1,1,1,1,0,3.199,3.209,,2.526,3.389,4.511,3,0
1,8,46,0,3,46,2,8,0,0,1,0,1,0,0,3.15,0,25.05,0,0,16.65,0,172.05,0,0,0,0,1,1,0,0,0,0,1,1.147,,3.221,,,3.829,1,0
1,40,38,1,10,85,3,12,0,0,2,0,0,0,0,10.6,0,0,0,0,384.8,0,0,0,0,0,0,0,0,1,1,1,1,0,2.361,,,,,4.443,3,1
2,38,71,0,27,10,2,12,1,0,1,0,0,0,0,11.2,0,0,0,0,429.85,0,0,0,0,0,0,0,0,0,0,0,1,0,2.416,,,,,2.303,1,0
1,67,68,0,28,244,1,47,0,1,1,1,0,1,0,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,0,1,0,0,1,1,1,1,0,3.409,3.409,,3.426,,5.497,3,0
1,26,42,0,0,80,4,15,0,1,1,1,1,1,1,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,1,1,1,1,1,1,1,1,1,2.061,3.784,3.904,2.351,3.778,4.382,4,0
3,41,34,1,15,83,5,1,0,1,2,1,0,1,0,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,1,1,1,1,1,1,1,1,0,2.186,3.519,,1.749,,4.419,4,0
2,2,31,0,2,21,1,6,0,0,1,0,1,0,0,1.65,0,21.6,0,0,3.2,0,17.25,0,0,0,0,0,0,0,0,0,1,0,0.501,,3.073,,,3.045,1,1
3,20,48,1,29,24,2,3,0,0,2,1,0,1,0,11.85,22.5,0,35,0,230.7,452.75,0,675,0,1,1,1,0,1,1,1,1,0,2.472,3.114,,3.555,,3.178,4,1
2,31,53,0,2,351,3,31,0,1,1,1,0,1,0,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,0,0,1,0,1,1,1,1,0,1.705,3.45,,2.958,,5.861,3,0
2,45,52,1,4,169,4,29,0,1,4,0,1,1,0,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,1,0,0,1,0,0,0,0,0,2.684,,3.7,2.657,,5.13,2,0
2,33,27,1,7,46,2,7,0,0,4,0,1,0,0,7.25,0,29.15,0,0,243.35,0,923.85,0,0,0,0,0,0,0,0,0,0,1,1.981,,3.372,,,3.829,1,0
1,10,26,0,6,34,3,3,0,0,1,0,1,0,0,4.85,0,27.7,0,0,41.85,0,223.05,0,0,1,0,0,0,0,0,0,0,0,1.579,,3.321,,,3.526,2,0
2,62,54,1,2,50,4,3,0,0,2,0,1,1,1,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,1,1,1,1,1,0,1,0,1,2.848,,3.871,4.472,3.504,3.912,4,1
2,4,35,0,16,161,5,6,0,1,1,1,1,0,1,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,0,1,1,1,1,1,1,1,1,1.224,3.168,3.908,,3.577,5.081,4,1
1,42,47,1,17,212,4,17,0,0,2,1,0,1,0,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,0,0,0,0,1,1,1,0,0,2.008,3.287,,3.209,,5.357,3,0
3,27,51,1,3,80,5,11,0,0,3,0,1,0,0,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,1,0,1,1,0,0,0,0,1,1.96,,3.674,,,4.382,2,0
2,38,42,0,1,30,4,7,0,1,1,1,0,0,0,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,0,0,0,0,0,1,0,0,0,2.58,3.314,,,,3.401,1,0
3,52,61,1,3,53,5,1,0,1,2,0,1,1,1,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,1,1,0,1,0,0,0,1,1,2.506,,3.648,2.169,3.582,3.97,2,0
3,35,33,0,9,73,5,4,0,1,1,1,0,1,1,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,1,1,1,1,1,1,1,1,1,1.766,3.644,,3.102,3.698,4.29,4,0
3,3,20,1,1,17,2,0,0,1,4,0,0,0,0,3.75,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.322,,,,,2.833,1,1
2,17,33,0,9,23,5,3,0,0,1,0,1,1,1,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,1,1,0,1,1,1,0,0,1,2.322,,3.595,2.674,3.431,3.135,4,1
1,55,53,1,21,34,1,8,0,0,2,0,0,0,0,5.7,0,0,0,0,304.4,0,0,0,0,0,0,0,0,0,1,1,1,0,1.74,,,,,3.526,3,0
3,43,36,1,5,107,1,19,0,1,3,1,0,1,0,11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,1,0,0,0,0,0,0,0,0,2.447,2.546,,3.068,,4.673,2,1
2,47,25,1,5,21,1,1,0,1,2,1,0,1,0,8.65,30.5,0,9,0,426.6,1465.45,0,405,0,0,0,0,0,0,1,1,1,0,2.158,3.418,,2.197,,3.045,3,1
3,65,58,0,30,83,2,16,0,1,1,0,0,1,0,19.3,0,0,22.75,0,1323.2,0,0,1370,0,1,0,0,0,0,1,0,0,0,2.96,,,3.125,,4.419,2,0
1,13,20,0,1,17,3,0,0,0,5,0,1,1,0,3.05,0,31.3,14,0,40.3,0,390.6,155,0,1,0,0,1,1,1,1,1,1,1.115,,3.444,2.639,,2.833,4,0
3,64,25,1,4,76,3,2,0,1,6,0,1,1,0,24.05,0,35.4,21.25,0,1536.55,0,2288.45,1400,0,1,0,0,0,1,0,1,1,1,3.18,,3.567,3.056,,4.331,3,0
2,12,24,0,2,19,1,0,0,0,1,1,0,1,0,4,24.75,0,27.25,0,46,299,0,295,0,0,0,0,0,1,1,1,1,0,1.386,3.209,,3.305,,2.944,3,1
1,29,32,1,0,49,4,3,0,1,3,0,1,0,0,6.7,0,33,0,0,187,0,918.25,0,0,1,0,1,1,0,0,0,0,1,1.902,,3.497,,,3.892,2,1
2,23,47,0,21,173,3,22,0,1,1,0,0,0,0,7.6,0,0,0,0,145.9,0,0,0,0,1,0,0,0,1,0,0,1,1,2.028,,,,,5.153,2,0
2,14,35,0,4,47,3,10,0,1,1,1,0,0,1,5,21.75,0,0,24.15,76.2,318.2,0,0,274,1,0,0,0,0,0,1,1,1,1.609,3.08,,,3.184,3.85,2,1
1,35,61,0,23,41,2,11,0,0,1,0,0,1,0,9.6,0,0,9.5,0,353.55,0,0,295,0,0,0,0,0,0,0,0,0,0,2.262,,,2.251,,3.714,1,0
3,26,39,0,8,105,3,13,0,1,1,1,0,1,1,6.6,39.75,0,37.25,38.25,159.7,1022.45,0,1005,885.1,1,1,1,0,1,1,1,1,1,1.887,3.683,,3.618,3.644,4.654,4,0
1,13,54,0,2,31,4,2,0,0,1,0,0,0,0,5.85,0,0,0,0,97,0,0,0,0,0,1,0,1,0,0,0,0,1,1.766,,,,,3.434,1,0
2,69,40,1,13,41,2,17,0,0,3,0,0,1,0,25.25,0,0,33,0,1725.1,0,0,2320,0,1,0,0,0,0,0,0,0,0,3.229,,,3.497,,3.714,2,0
3,61,50,1,30,102,4,9,0,1,3,0,0,1,0,12.6,0,0,12.5,0,760.3,0,0,745,0,1,0,0,1,0,0,0,0,1,2.534,,,2.526,,4.625,2,0
2,45,22,1,2,36,4,0,0,1,5,1,1,0,0,9.95,14.75,26.15,0,0,412.1,663.1,1180.5,0,0,1,0,0,0,0,0,0,0,0,2.298,2.691,3.264,,,3.584,2,1
2,3,37,0,13,24,1,3,0,1,1,0,0,0,0,2,0,0,0,0,3.05,0,0,0,0,0,1,0,0,0,0,0,1,1,0.693,,,,,3.178,1,0
2,53,22,0,1,25,4,0,0,0,2,0,1,1,0,12.05,0,27.15,6.5,0,666,0,1469.25,335,0,1,0,0,1,0,0,0,0,1,2.489,,3.301,1.872,,3.219,2,0
1,59,42,0,1,68,2,21,0,1,1,1,0,1,0,17.3,21.25,0,19.25,0,997.85,1183.55,0,1160,0,1,0,0,0,1,1,1,1,0,2.851,3.056,,2.958,,4.22,3,0
1,13,34,0,11,20,3,0,0,1,1,0,0,0,0,4.8,0,0,0,0,71.05,0,0,0,0,0,0,0,1,0,0,0,0,0,1.569,,,,,2.996,1,0
3,31,31,0,4,48,1,15,0,0,1,0,0,0,0,3.8,0,0,0,0,127.7,0,0,0,0,0,0,0,0,0,1,1,1,0,1.335,,,,,3.871,3,0
1,40,29,1,6,40,2,8,0,1,5,0,0,0,0,13,0,0,0,0,502.95,0,0,0,0,0,0,0,0,0,1,1,1,0,2.565,,,,,3.689,3,0
1,48,55,0,15,79,1,25,0,0,1,0,0,1,0,13.8,0,0,25.5,0,668.65,0,0,1140,0,0,0,0,0,1,1,1,1,0,2.625,,,3.239,,4.369,3,0
3,3,31,0,1,28,1,0,0,0,1,1,1,1,0,3.45,15.5,23.3,23.5,0,13.3,48.75,62.95,45,0,0,0,0,1,0,0,1,0,0,1.238,2.741,3.148,3.157,,3.332,1,1
2,51,48,0,12,64,2,22,0,1,1,0,0,1,0,14.8,0,0,17,0,708.45,0,0,820,0,0,0,0,0,0,0,0,0,0,2.695,,,2.833,,4.159,1,0
3,33,41,0,15,37,2,11,0,0,1,0,0,0,0,12.2,0,0,0,0,415.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.501,,,,,3.611,1,0
3,14,47,1,7,48,1,13,0,0,2,1,0,0,0,4.25,11,0,0,0,55.5,126.45,0,0,0,0,0,0,0,0,0,0,1,0,1.447,2.398,,,,3.871,1,0
1,17,42,1,6,131,5,6,0,0,3,0,1,0,1,5.8,0,35.35,0,21.65,103.1,0,527.8,0,331.4,1,0,0,1,0,0,0,0,1,1.758,,3.565,,3.075,4.875,2,1
3,19,29,1,9,18,2,2,0,0,3,0,0,0,0,5.4,0,0,0,0,108.5,0,0,0,0,0,0,0,1,0,0,1,0,1,1.686,,,,,2.89,1,1
2,58,36,0,10,38,2,14,0,1,1,0,0,1,0,10.15,0,0,17.75,0,538.65,0,0,1030,0,1,0,0,0,0,0,0,0,0,2.317,,,2.876,,3.638,2,0
3,22,23,0,3,37,2,4,0,1,3,0,1,1,1,5.35,0,28.1,9,24.7,144.05,0,602.2,200,503.5,0,1,0,1,1,0,0,1,1,1.677,,3.336,2.197,3.207,3.611,4,0
2,29,31,1,1,60,4,6,0,0,5,0,1,0,0,9.6,0,26.75,0,0,243.9,0,730.8,0,0,1,0,0,1,0,0,0,0,1,2.262,,3.287,,,4.094,2,1
3,14,22,1,2,13,3,0,0,1,4,0,1,0,0,9.45,0,26.85,0,0,117.55,0,364.1,0,0,1,0,0,1,0,0,0,0,0,2.246,,3.29,,,2.565,2,1
2,70,64,1,18,98,1,31,0,1,2,1,0,1,1,26.15,84,0,11.25,45.45,1805.1,5850.25,0,720,3243.25,1,1,1,0,1,1,1,1,0,3.264,4.431,,2.42,3.817,4.585,4,0
1,62,52,1,2,195,1,23,0,0,2,1,0,1,1,23.15,36.75,0,36,34.3,1420.95,2308.25,0,2205,2082.8,1,0,0,0,0,0,1,1,0,3.142,3.604,,3.584,3.535,5.273,3,1
2,7,35,1,0,47,1,14,0,0,5,0,0,0,0,5.2,0,0,0,0,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.649,,,,,3.85,1,1
1,56,47,1,19,65,2,22,0,0,3,1,0,1,1,12.4,48.75,0,36.5,58.4,744.45,2695.95,0,2070,3084.2,0,1,1,0,1,1,1,1,0,2.518,3.887,,3.597,4.067,4.174,4,0
1,50,50,1,22,150,5,5,0,1,4,0,1,1,0,19.3,0,33.4,50.75,0,930.8,0,1719.4,2585,0,1,1,0,1,0,0,1,0,1,2.96,,3.509,3.927,,5.011,2,1
2,57,39,0,6,106,5,8,0,0,1,1,1,1,1,9.05,24.25,41.85,12.25,39.6,568.15,1486.35,2291.35,740,2183.95,1,0,1,0,1,1,1,1,0,2.203,3.188,3.734,2.506,3.679,4.663,3,0
3,2,40,0,19,51,4,14,0,1,1,0,0,0,0,4.25,0,0,0,0,6.8,0,0,0,0,0,1,0,1,0,0,0,0,1,1.447,,,,,3.932,1,0
2,40,38,0,17,96,4,0,0,1,1,0,0,0,0,9.3,0,0,0,0,316.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,,,,,4.564,1,0
2,6,43,0,4,33,5,7,0,0,2,0,0,1,1,4.25,0,0,16.25,26.75,30,0,0,85,146.55,1,0,1,0,1,1,1,1,0,1.447,,,2.788,3.287,3.497,3,0
